timestamp,store_id,product_id,city,channel,promo_flag,price,discount,units,temperature,stock,revenue
2024-01-01,106,1095,N/A,Online,0,10.39,0.129,2.0,,50,17.49
2024-01-01,119,1021,Turin,Retail,0,,0.334,8.0,24.8,32,109.77
2024-01-01,114,1067,rome,Online,1,31.62,0.303,12.0,14.1,40,256.02
2024-01-01,110,1068,N/A,Online,0,37.51,0.365,7.0,23.4,44,188.76
2024-01-01,107,1036,Naples,Retail,0,44.25,0.415,11.0,14.1,43,292.26
2024-01-01,106,1048,Rome,Online,0,53.28,0.055,5.0,15.8,13,254.21
2024-01-01,118,1012,,Retail,0,42.73,0.312,14.0,31.2,32,390.04
2024-01-01,110,1033,milan,Online,0,30.29,,6.0,10.7,59,87.53
2024-01-01,110,1085,Milan ,Online,1,33.69,0.196,10.0,14.4,46,267.7
2024-01-01,103,1052,Turin,Retail,0,23.59,0.105,5.0,13.4,54,93.4
2024-01-01,107,1086,rome,Online,1,59.0,0.166,9.0,,53,447.79
2024-01-01,102,1050,Naples,Online,0,32.86,0.16,8.0,8.8,46,215.02
2024-01-01,101,1002,Rome,Online,0,39.41,,10.0,24.1,38,374.3
2024-01-01,111,1041,N/A,Online,0,24.89,0.102,6.0,6.7,41,143.76
2024-01-01,105,1097,,Online,0,44.82,0.045,11.0,9.1,52,486.38
2024-01-01,101,1031,N/A,Online,0,38.67,0.514,6.0,12.5,33,110.03
2024-01-01,100,1050,rome,Online,0,36.76,0.167,4.0,15.6,55,132.68
2024-01-01,111,1084,Milan ,Online,0,29.27,0.4,8.0,25.2,70,132.66
2024-01-01,111,1045, naples,Retail,1,22.29,0.195,14.0,,16,259.89
2024-01-02,116,1020,milan,Retail,0,45.25,,12.0,21.6,58,386.19
2024-01-02,109,1043,milan,Online,1,37.41,0.186,,13.4,47,405.24
2024-01-02,115,1010,Naples,Retail,0,15.55,0.231,6.0,18.4,57,70.94
2024-01-02,114,1067, naples,Retail,0,53.5,0.187,7.0,25.2,41,286.99
2024-01-02,114,1000,,Retail,0,35.49,0.077,10.0,22.4,70,325.18
2024-01-02,118,1091,rome,Retail,0,33.38,0.04,5.0,21.9,47,168.79
2024-01-02,111,1062,rome,Online,1,,0.213,12.0,5.0,52,280.19
2024-01-02,119,1023,milan,Retail,0,19.38,,8.0,13.7,56,152.91
2024-01-02,102,1098,,Online,0,36.15,0.182,11.0,18.9,52,320.26
2024-01-02,104,1012,Turin,Online,0,55.43,0.091,6.0,16.5,52,286.26
2024-01-02,118,1097,N/A,Retail,0,29.47,0.071,10.0,14.3,54,270.63
2024-01-02,106,1010,,Online,0,40.79,0.428,6.0,11.9,42,157.27
2024-01-02,108,1099, naples,Online,1,19.69,0.287,13.0,24.9,45,170.6
2024-01-02,106,1050, naples,Retail,0,45.95,0.211,6.0,20.4,65,217.22
2024-01-02,117,1016,rome,Retail,1,22.68,0.078,13.0,24.1,26,257.98
2024-01-03,103,1098,Naples,Retail,1,35.4,0.092,10.0,34.6,37,285.97
2024-01-03,113,1081, naples,Retail,0,54.46,0.283,7.0,5.0,24,302.29
2024-01-03,117,1085, naples,Online,0,22.67,0.158,,19.8,24,191.74
2024-01-03,108,1023,,Online,0,14.8,0.045,7.0,16.3,35,101.77
2024-01-03,101,1018,,Retail,0,13.31,0.27,7.0,26.2,46,68.38
2024-01-03,119,1036,Turin,Online,0,27.51,0.268,9.0,24.9,57,188.87
2024-01-03,114,1084,Turin,Retail,1,20.26,0.135,13.0,17.0,55,239.57
2024-01-03,106,1007,turin,Online,0,36.35,0.05,6.0,18.9,59,198.34
2024-01-03,111,1027,Milan ,Online,0,36.09,0.61,3.0,25.1,40,46.6
2024-01-03,107,1004,milan,Online,0,45.96,0.196,10.0,23.0,79,397.99
2024-01-03,114,1016,turin,Retail,0,34.93,0.095,7.0,30.8,49,227.01
2024-01-03,102,1035,turin,Online,1,42.93,0.035,12.0,19.9,70,473.66
2024-01-03,113,1018,milan,Online,0,,0.207,13.0,15.7,43,637.41
2024-01-03,116,1063,,Online,0,,0.242,8.0,11.9,39,152.78
2024-01-03,103,1090,milan,Online,0,49.27,0.089,6.0,,54,269.32
2024-01-03,117,1097,rome,Online,1,69.29,0.404,11.0,11.5,30,477.3
2024-01-04,107,1010,turin,Online,0,20.04,0.398,6.0,18.8,30,74.06
2024-01-04,103,1053,Milan ,Online,1,43.23,0.017,12.0,30.1,68,497.77
2024-01-04,101,1044,milan,Online,0,,0.345,13.0,24.8,51,176.13
2024-01-04,105,1046,rome,Online,0,27.51,0.262,6.0,8.4,45,129.68
2024-01-04,109,1011,Turin,Retail,0,15.42,0.233,12.0,5.2,70,137.11
